Graduation Date,Program Name/Major,Academic Division/School,Degree Level,Outcome Type,Employing Organization,Position Location - Country,Position Location - State,Name of Institution,Degree to be earned,Program/Field of Study,Job Title
2021,Financial Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,"Chartwell Financial Advisory, Inc.",,Minnesota,,,,Analyst
2021,Financial Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,Cherry Tree & Associates,,Minnesota,,,,Investment Banking Analyst
2021,Gen Business Mgmt,Opus College of Business,Bachelor's Degree,Employed Full-Time,Chick-fil-A-Franchise,,Georgia,,,,Team Lead
2021,Political Science,Opus College of Business,Bachelor's Degree,Employed Full-Time,Children’s Dental Services,,Minnesota,,,,Public Health Assistant
2021,Sociology,School of Engineering,Bachelor's Degree,Employed Full-Time,Children's Discovery Academy,,Minnesota,,,,Assistant Teacher
2021,Actuarial Science,Opus College of Business,Bachelor's Degree,Employed Full-Time,Burns & Wilcox,,Illinois,,,,Associate Underwriter
2021,Marketing Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Chubb Insurance,,Minnesota,,,,Underwriter Account Representative
2021,Marketing Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Cintas,,Ohio,,,,Service Sales Representative
2021,Electrical Engineering,Opus College of Business,Bachelor's Degree,Employed Full-Time,"City of Apple Valley, MN",,Minnesota,,,,Ice Resurfacer
2021,Political Science,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,City of Cottage Grove,,Minnesota,,,,Administration Intern
2021,Neuroscience,Opus College of Business,Bachelor's Degree,Employed Full-Time,City of Minneapolis,,Minnesota,,,,Analyst - Health Department
2021,Mechanical Engineering,College of Health,Bachelor's Degree,Employed Full-Time,"Clarus Medical, LLC",,Minnesota,,,,Design and Production Engineer
2021,Accounting,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Clifton Larson Allen,,Minnesota,,,,Associate
2021,Financial Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,CliftonLarsonAllen (CLA),,Minnesota,,,,M&A - Investment Banking Analyst
2021,Economics,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,"Clockwise, Inc.",,Minnesota,,,,Business Intern
2021,Financial Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Clyde & Co,,Do not live in the United States,,,,Client Intake/Compliance Coordinator
2021,COJO Strategic Communications,School of Education,Bachelor's Degree,Employed Full-Time,Collective Measures | Performance Marketing,,Minnesota,,,,Account Coordinator
2021,Gen Business Mgmt,Opus College of Business,Bachelor's Degree,Volunteer Service,College Possible,,Minnesota,,,,College coach
2021,Marketing Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,Collemcvoy,,Minnesota,,,,Assistant Media Planner
2021,Mechanical Engineering,Opus College of Business,Bachelor's Degree,Employed Full-Time,Collins Aerospace,,Minnesota,,,,Associate Engineer
2021,Elementary Education (K-6),Opus College of Business,Bachelor's Degree,Employed Full-Time,Community of Peace Academy,,Minnesota,,,,3rd grade teacher
2021,Computer Science (BS),Opus College of Business,Bachelor's Degree,Employed Full-Time,Compute North,,Minnesota,,,,Software Engineer
