Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Minnesota
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Individualized,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Systems Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Graduate level degree,2024,Principal Quality Assurance Engineer,Engineering,Veritas Technologies LLC,Technology & Software,Minnesota
Classical Civilization,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Minnesota
English - Creative Writing,COMMUNICATION & MEDIA,Creative Writing,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Technology Management,BUSINESS & MANAGEMENT,General Management,School of Engineering,Graduate level degree,2024,Product Engineering Manager,Engineering,Reell Precision Manufacturing,Manufacturing & Industrial,Minnesota
Counseling Psychology,EDUCATION & SOCIAL SERVICES,Social Work,School of Prof Psychology,Graduate level degree,2024,Outpatient Therapist,Healthcare & Clinical,Reed Behavioral Health,Healthcare & Medical,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Minnesota
Economics - Public Policy,SOCIAL SCIENCES & HUMANITIES,Economics,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Music Education,EDUCATION & SOCIAL SERVICES,Education,College of Arts & Sciences,Graduate level degree,2024,Elementary Music Teacher,Education & Teaching,Big Lake Schools,Education & Academia,Minnesota
Publc Safety & Law Enfr Ldrshp,EDUCATION & SOCIAL SERVICES,Education,College of Arts & Sciences,Graduate level degree,2024,Police Sergeant,Government & Public Service,White Bear Lake Police Department,Government & Public Service,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Minnesota
Communication Studies,COMMUNICATION & MEDIA,Communication Studies,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Executive MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,VP of External Affairs,Management & Leadership,KIPP MN,Education & Academia,Minnesota
Health Care MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,"Physician director, Medical subspecialities.",Healthcare & Clinical,CENTRACARE,Healthcare & Medical,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Program Manager,Management & Leadership,"Entegris, Inc",Manufacturing & Industrial,Minnesota
Economics - Business,BUSINESS & MANAGEMENT,Economics,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Graduate level degree,2024,Lab Research Engineer,Engineering,3M,Technology & Software,Minnesota
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Bachelor's degree,2024,,Other,,Other,Minnesota
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Bachelor's degree,2024,,Other,,Other,Minnesota
Computer Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Florida
Public Health,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Bachelor's degree,2024,,Other,,Other,Minnesota
Social Work Advanced Standing,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Bachelor's degree,2024,,Other,,Other,Minnesota
Liberal Arts,BUSINESS & MANAGEMENT,General Management,Dougherty Family College,Bachelor's degree,2024,,Other,,Other,Minnesota
Liberal Arts,BUSINESS & MANAGEMENT,General Management,Dougherty Family College,Bachelor's degree,2024,,Other,,Other,Minnesota
Digital Media Arts,COMMUNICATION & MEDIA,Journalism & Media,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Social Work,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Bachelor's degree,2024,,Other,,Other,Minnesota
Publc Safety & Law Enfr Ldrshp,EDUCATION & SOCIAL SERVICES,Education,College of Arts & Sciences,Graduate level degree,2024,Police Officer,Government & Public Service,City of Mendota Heights,Government & Public Service,Minnesota
Early Childhood Special Educ,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Early Childhood Special Ed. Teacher,Education & Teaching,South Washington County School District,Education & Academia,Minnesota
Biochemistry,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Executive MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,,Other,,Other,Minnesota
Computer Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Mississippi
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Missouri
Strategic Comm: Ad and PR,COMMUNICATION & MEDIA,Communication Studies,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Nebraska
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,New York
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Minnesota
Health Care Innovation,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Communications Specialist,Marketing & Communications,Hennepin Healthcare,Healthcare & Medical,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,North Dakota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,,Other,,Other,North Dakota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,,Other,,Other,North Dakota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
English - Professional Writing,"ARTS, LANGUAGES & THEOLOGY",English & Writing,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Family Studies,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Virginia
Data Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Grad Prog in Software Eng,Graduate level degree,2024,Quality steward,Operations & Supply Chain,DuPont water solutions,Manufacturing & Industrial,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Minnesota
Environmental Sci (Biology),NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Law & Compliance,BUSINESS & MANAGEMENT,Specialized Business,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Minnesota
Executive MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,"Faculty physician, regional director of hospital practice/operations",Education & Teaching,Mayo Clinic,Healthcare & Medical,Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Minnesota
English,"ARTS, LANGUAGES & THEOLOGY",English & Writing,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Bachelor's degree,2024,,Other,,Other,Minnesota
Criminal Justice,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Bachelor's degree,2024,,Other,,Other,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,School of Education,Bachelor's degree,2024,,Other,,Other,Wisconsin
Liberal Arts,BUSINESS & MANAGEMENT,General Management,Dougherty Family College,Bachelor's degree,2024,,Other,,Other,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Associate Brand Marketing Manager,Marketing & Communications,The Toro Company,Manufacturing & Industrial,Minnesota
COJO Persuasion/Soc Influence,COMMUNICATION & MEDIA,Communication Studies,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Economics - International,SOCIAL SCIENCES & HUMANITIES,Economics,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,North Dakota
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,College of Arts & Sciences,Graduate level degree,2024,High School Teacher,Education & Teaching,Holy Spirit Academy,Education & Academia,Minnesota
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Mathematics (Applied Track),NATURAL & HEALTH SCIENCES,Mathematics & Statistics,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,College of Arts & Sciences,Graduate level degree,2024,Producing Associate,Sales & Business Development,Artistry Theater & Visual Arts,Retail & Consumer Products,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
MS Operations & Supply Chain Mgmt,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Data Analytics,BUSINESS & MANAGEMENT,Operations & Analytics,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Teacher,Education & Teaching,Mps,Education & Academia,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Wisconsin
Leadership In Student Affairs,EDUCATION & SOCIAL SERVICES,Education,School of Education,Graduate level degree,2024,Community Director,Management & Leadership,Florida Southern College,Education & Academia,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Wisconsin
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Bus Admin - Communication,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Statistics,NATURAL & HEALTH SCIENCES,Mathematics & Statistics,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Biochemistry,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Economics - Business,BUSINESS & MANAGEMENT,Economics,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Marketing Lead,Marketing & Communications,Syngenta,Manufacturing & Industrial,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Anaplan Enablement Lead,Management & Leadership,Twelve Consulting Geoup,Professional Services & Consulting,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Wisconsin
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Bachelor's degree,2024,,Other,,Other,Wisconsin
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Communication Studies,COMMUNICATION & MEDIA,Communication Studies,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Public Health,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Bachelor's degree,2024,,Other,,Other,Wisconsin
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Data Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Grad Prog in Software Eng,Graduate level degree,2024,Software engineer,Software & IT,Wells Fargo,Financial Services & Insurance,Minnesota
Health Care MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Senior Manager,Management & Leadership,CVS Health,Healthcare & Medical,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special education teacher,Education & Teaching,ISD 200,Education & Academia,Minnesota
Data Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Grad Prog in Software Eng,Graduate level degree,2024,Reliability Telemetry Data Analyst,Operations & Supply Chain,Seagate Technology,Manufacturing & Industrial,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,School of Education,Bachelor's degree,2024,,Other,,Other,Wisconsin
Theology,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,School of Divinity,Graduate level degree,2024,,Other,,Other,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
MS Operations & Supply Chain Mgmt,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Data Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Grad Prog in Software Eng,Graduate level degree,2024,Sr Software Engineer,Software & IT,Cboe,Financial Services & Insurance,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Graduate level degree,2024,System Operations Engineer,Engineering,MISO,Energy & Utilities,Minnesota
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Wisconsin
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Graduate level degree,2024,Owner,Sales & Business Development,ViVi Bubble Tea,Retail & Consumer Products,Minnesota
MS Operations & Supply Chain Mgmt,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Wisconsin
Liberal Arts,BUSINESS & MANAGEMENT,General Management,Dougherty Family College,Bachelor's degree,2024,,Other,,Other,
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special Education teacher,Education & Teaching,Hmong college prep academy,Education & Academia,Minnesota
Biology of Global Health,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Flight Director,Management & Leadership,(Im)possible Cosmos,Government & Public Service,Minnesota
MS Operations & Supply Chain Mgmt,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's degree,2024,IT Analyst,Software & IT,3M,Technology & Software,
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Research Assistant,Research & Science,3M,Technology & Software,Minnesota
MS Operations & Supply Chain Mgmt,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's degree,2024,Technology Services Intern,Software & IT,3M,Technology & Software,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,Integrated Marketing Coordinator,Marketing & Communications,3M,Technology & Software,Minnesota
Data Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Grad Prog in Software Eng,Graduate level degree,2024,Master Data Analyst,Data & Analytics,3M,Technology & Software,Minnesota
English,"ARTS, LANGUAGES & THEOLOGY",English & Writing,College of Arts & Sciences,Graduate level degree,2024,Web Project Coordinator,Management & Leadership,3M,Technology & Software,Minnesota
Manufacturing Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Graduate level degree,2024,Subject Matter Expert,Software & IT,3M,Technology & Software,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Auto Body Shop Technician,Engineering,3M,Technology & Software,Minnesota
Health Care Innovation,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Account Manager,Sales & Business Development,Abbott Laboratories,Healthcare & Medical,Minnesota
Data Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Grad Prog in Software Eng,Graduate level degree,2024,IT Analyst,Software & IT,Abbott Laboratories,Healthcare & Medical,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Graduate level degree,2024,Research and Development Engineer,Engineering,Abbott Laboratories,Healthcare & Medical,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Graduate level degree,2024,Product Development Engineer,Engineering,Abbott Laboratories,Healthcare & Medical,Minnesota
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's degree,2024,,Other,Abcom USA,Technology & Software,Minnesota
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's degree,2024,National Vice President,Management & Leadership,Abcom USA,Technology & Software,Minnesota
Counseling Psychology,EDUCATION & SOCIAL SERVICES,Social Work,School of Prof Psychology,Graduate level degree,2024,Chief Executive Officer,Management & Leadership,Abdur Razzaq Counseling & Social Architecture PA,Healthcare & Medical,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Consumer Insights Consultant,Consulting & Advisory,Accenture,Technology & Software,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Special Projects Assistant,Consulting & Advisory,Acowsay Designs,Professional Services & Consulting,Minnesota
Biology of Global Health,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,Direct Care Professional,Healthcare & Clinical,Acr Homes,Healthcare & Medical,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Associate District Manager,Management & Leadership,ADP,Financial Services & Insurance,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Sales Engineer,Engineering,Advanced Inspection Services,Professional Services & Consulting,Minnesota
Health Care MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Member-at-Large,Consulting & Advisory,Agency Chief,Professional Services & Consulting,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Underwriter,Finance & Accounting,Alive Risk,Professional Services & Consulting,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Commercial Portfolio Manager,Finance & Accounting,Alliance Bank,Financial Services & Insurance,Minnesota
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Transportation Engineer,Engineering,Alliant Engineering,"Construction, Engineering & Real Estate",Minnesota
Communication Studies,COMMUNICATION & MEDIA,Communication Studies,College of Arts & Sciences,Bachelor's degree,2024,Consultant,Consulting & Advisory,Allianz,Financial Services & Insurance,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,Actuarial Analyst,Finance & Accounting,Allianz,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Internal Sales Consultant,Sales & Business Development,Allianz,Financial Services & Insurance,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,Actuarial Analyst,Finance & Accounting,Allianz,Financial Services & Insurance,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,Actuarial Analyst,Finance & Accounting,Allianz,Financial Services & Insurance,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Director of Strategic Planning,Consulting & Advisory,Allianz,Financial Services & Insurance,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Principal Financial Analyst,Finance & Accounting,Allianz,Financial Services & Insurance,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Project Manager,Management & Leadership,Allianz,Financial Services & Insurance,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Strategic Planning Manager,Consulting & Advisory,Allianz,Financial Services & Insurance,Minnesota
Data Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Grad Prog in Software Eng,Graduate level degree,2024,Operations Analyst,Operations & Supply Chain,Allianz,Financial Services & Insurance,Minnesota
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,Laboratory Assistant,Research & Science,Allina Health,Healthcare & Medical,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,Emergency Medical Technician,Healthcare & Clinical,Allina Health,Healthcare & Medical,Minnesota
