Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Marketing Coordinator,Marketing & Communications,GTN,Professional Services & Consulting,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Aftermarket Sales Representative,Sales & Business Development,Haf Equipment,Retail & Consumer Products,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Research Analyst,Research & Science,Heartland Advisors Inc.,Financial Services & Insurance,Minnesota
Social Work,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,Child protection ,Government & Public Service,Hennepin County ,Other,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special Education Teacher,Education & Teaching,Hiawatha Valley Education District,Education & Academia,Iowa
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Client Service Consultant,Sales & Business Development,Holmes Murphy,Financial Services & Insurance,Colorado
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Project Engineer,Engineering,Honeywell,Manufacturing & Industrial,Minnesota
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,Pathology Aide,Healthcare & Clinical,Hospital Pathology Associates,Healthcare & Medical,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Financial Analyst,Finance & Accounting,Houlihan Lokey,Financial Services & Insurance,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Regional Vice President,Management & Leadership,Hunt Electric Corporation,"Construction, Engineering & Real Estate",Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,,Other,IBM,Technology & Software,
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,Technical Services Developer,Software & IT,Infinite Campus,Technology & Software,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Automation Engineer,Engineering,Innovize,Manufacturing & Industrial,Minnesota
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Design engineer,Engineering,Isthmus Engineering,"Construction, Engineering & Real Estate",Minnesota
MS Business Analytics,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Graduate level degree,2024,Services Operations Manager,Operations & Supply Chain,Jamf,Technology & Software,Minnesota
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's degree,2024,Operations Manager ,Operations & Supply Chain,Jenny Gezella,Other,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Sales Consultant ,Sales & Business Development,Johnson Brothers,Manufacturing & Industrial,Minnesota
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's Degree,2024,Relationship Banker,Finance & Accounting,Bank of America,Financial Services & Insurance,North Carolina
Health Care MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Associate Resource Manager,Management & Leadership,Kornferry,Professional Services & Consulting,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,MEP Systems Manager,Management & Leadership,Kraus Anderson Construction,"Construction, Engineering & Real Estate",Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Staff Accountant,Finance & Accounting,LB Carlson,Financial Services & Insurance,Wisconsin
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Bachelor's degree,2024,Personal Trainer,Healthcare & Clinical,Life Time,Healthcare & Medical,Minnesota
Social Work,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,Mental Health Practitioner ,Healthcare & Clinical,Lighthouse Psychological Services,Healthcare & Medical,Minnesota
Music - Business,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,College of Arts & Sciences,Bachelor's degree,2024,Regional Marketing Coordinator - Southeast,Marketing & Communications,Live Nation Entertainment - Concerts Division,Retail & Consumer Products,Tennessee 
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's degree,2024,Associate Account Manager,Sales & Business Development,Lockton,Financial Services & Insurance,Minnesota
Law & Compliance,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,Associate Account Manager,Sales & Business Development,Lockton,Financial Services & Insurance,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,Associate account manager,Sales & Business Development,Lockton,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Associate Account Manager ,Sales & Business Development,Lockton ,Other,
Legal Studies,BUSINESS & MANAGEMENT,Legal,Opus College of Business,Graduate level degree,2024,Associate Corporate Counsel,Legal,Longevity Holdings Inc.,Financial Services & Insurance,Minnesota
Data Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,School of Engineering,Graduate level degree,2024,System Analyst,Software & IT,Los Almamos National Laboratory,Government & Public Service,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,Legal Assistant,Legal,Matt Guttman,Other,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,School of Education,Bachelor's degree,2024,Teacher ,Education & Teaching,Maxfield Elementary ,Other,Minnesota
Social Work,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,Social Worker,Healthcare & Clinical,Mayo Clinic,Healthcare & Medical,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Associate's degree,2024,Financial analyst,Finance & Accounting,Medtronic,Healthcare & Medical,Minnesota
Health Care MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Senior Quality Engineer ,Engineering,Medtronic ,Other,Minnesota
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Highway Designer,Design & Creative,Michael Baker International,"Construction, Engineering & Real Estate",Wisconsin
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Electrical Designer,Engineering,Michaud Cooley Erickson,"Construction, Engineering & Real Estate",Minnesota
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Electrical Designer/EIT ,Engineering,Michaud Cooley Erickson,"Construction, Engineering & Real Estate",Minnesota
