Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year
Political Science,Administration Intern,City of Cottage Grove,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Neuroscience,Analyst - Health Department,City of Minneapolis,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Design and Production Engineer,"Clarus Medical, LLC",College of Health,Bachelor's Degree,Minnesota,2021
Accounting,Associate,Clifton Larson Allen,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,M&A - Investment Banking Analyst,CliftonLarsonAllen (CLA),Opus College of Business,Bachelor's Degree,Minnesota,2021
Economics,Business Intern,"Clockwise, Inc.",College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Client Intake/Compliance Coordinator,Clyde & Co,College of Arts & Sciences,Bachelor's Degree,Do not live in the United States,2021
COJO Strategic Communications,Account Coordinator,Collective Measures | Performance Marketing,School of Education,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,College coach,College Possible,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Assistant Media Planner,Collemcvoy,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Associate Engineer,Collins Aerospace,Opus College of Business,Bachelor's Degree,Minnesota,2021
Elementary Education (K-6),3rd grade teacher,Community of Peace Academy,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,Software Engineer,Compute North,Opus College of Business,Bachelor's Degree,Minnesota,2021
Economics - Public Policy,Cultural Language Assistant,Comunidad de Madrid,Opus College of Business,Bachelor's Degree,Do not live in the United States,2021
Financial Management,President,Concept Financial Goup,School of Engineering,Bachelor's Degree,Minnesota,2021
Political Science,Digital Fundraising Manager,Congressional Leadership Fund,College of Arts & Sciences,Bachelor's Degree,Virginia,2021
History,Laborer,Covenant Building and Remodeling,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,"Hostess, Waiters Assistant",CRAVE American Kitchen & Sushi Bar,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Digital Media Arts,Associate Designer,Creed Interactive,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Political Science,Information Security Risk and Compliance Analyst,Cricket Health,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
K-12 World Lang. & Cultures,Spanish teacher,Cristo Rey Jusuit High School,School of Engineering,Bachelor's Degree,Minnesota,2021
Actuarial Science,Cost and Data Analyst,Currie & Brown,College of Arts & Sciences,Bachelor's Degree,Do not live in the United States,2021
Accounting,Accounting Assistant,Chowbus,College of Arts & Sciences,Bachelor's Degree,Illinois,2021
Financial Management,Associate Broker,Cushman & Wakefield,Opus College of Business,Bachelor's Degree,Illinois,2021
Neuroscience,Pharmacy technician,CVS,School of Engineering,Bachelor's Degree,Minnesota,2021
Neuroscience,Pharmacy technician,Cvs,Opus College of Business,Bachelor's Degree,Minnesota,2021
Human Resources Management,Associate Recruiter,Dahl Consulting,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Product Engineer,Daikin Applied,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Carrier Sales Representative,Dedicated Logistics Services,Opus College of Business,Bachelor's Degree,Minnesota,2021
Biochemistry,Automotive Mechanic,Deep Rock,Opus College of Business,Bachelor's Degree,Colorado,2021
Mechanical Engineering,Mechanical Engineer,Delkor,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Audit Associate,Deloitte,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Accounting Associate,Deloitte,Opus College of Business,Bachelor's Degree,Minnesota,2021
Actuarial Science,Actuarial analyst t,Deloitte,Opus College of Business,Bachelor's Degree,Minnesota,2021
Accounting,Tax Consultant,Deloitte,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
French,Analyst,Deloitte,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Entrepreneurship,Tax Consultant,Deloitte,School of Engineering,Bachelor's Degree,Minnesota,2021
Accounting,Tax Intern,Deloitte,School of Engineering,Bachelor's Degree,Minnesota,2021
Economics,Customer Service Representative,Delta Air Lines,School of Engineering,Bachelor's Degree,Georgia,2021
Human Resources Management,Human Resources Service Center Representative,Deluxe,School of Engineering,Bachelor's Degree,Minnesota,2021
Entrepreneurship,HR Assistant,Department of Corrections-Wisconsin,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Biology,Medical Analyst,Department of Veteran's Affairs,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Exercise Science,MIT Program,Destined Consulting Solutions,Opus College of Business,Bachelor's Degree,Minnesota,2021
Economics - Business,Data Analyst,Digital Strategies Inc,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biology,Bartender and Server,Dog Haus,Opus College of Business,Bachelor's Degree,California,2021
Entrepreneurship,Delivery Driver,DoorDash,College of Arts & Sciences,Bachelor's Degree,California,2021
Actuarial Science,Delivery Driver,DoorDash Driver App,College of Arts & Sciences,Bachelor's Degree,California,2021
Gen Business Mgmt,Customer Experience Associate,DraftKings,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Urban Realtor,DRG,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,Neural Network Engineer,DRPM,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
History,Barista,Dunn Brothers Coffee,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Human Resources Management,Human Resources Assistant,Eagle Creek,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,Analyst,Eagle Creek Technology,Opus College of Business,Bachelor's Degree,North Dakota,2021
Music - Business,Management Coordinator,Eclipse Music Group,Opus College of Business,Bachelor's Degree,Tennessee,2021
Marketing Management,Chemist,Ecolab,School of Education,Bachelor's Degree,Minnesota,2021
Marketing Management,Marketing Associate,Ecolab,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Procurement Specialist,Ecolab,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Economics - Business,Financial Analyst,Ecolab,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Associate Financial Analyst,Ecolab,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Finance Intern,Ecolab,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Operations Management,Logistics Specialist,Ecolab,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biology,Field Technician,Ed’s Buckthorn Control,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Territory Manager,EFCO Forming & Shoring Solutions,Opus College of Business,Bachelor's Degree,Iowa,2021
Financial Management,Director of Marketing,Eickhof Columbaria Inc.,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biochemistry,Microbiology Lab Support Specialist,Element Materials Technology,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biology,Medical Scribe,Emergency Care Consultants,Opus College of Business,Bachelor's Degree,Iowa,2021
Biochemistry,Scribe,Emergency Care Consultants,School of Engineering,Bachelor's Degree,,2021
Neuroscience,Medical Scribe,Emergency Care Consultants,School of Engineering,Bachelor's Degree,Minnesota,2021
Human Resources Management,Human Resources Representative,Emerson Electric,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biology of Global Health,Flight Attendant,Endeavor Air,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Event Marketing Intern,Energy Resources Marketing,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biology,Implementation Services - Project Manager,Epic,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Economics - Business,Quality Management,Epic Systems,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Biology,Scribe,EPPA,Opus College of Business,Bachelor's Degree,Minnesota,2021
Biology,Scribe and Research Coordinator,EPPA and MHVI,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Financial Advisor,Equitable Advisors,Opus College of Business,Bachelor's Degree,Minnesota,2021
Neuroscience,Technical Recruiter,Equivince,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Automation Engineer,ESCO Automation,School of Engineering,Bachelor's Degree,Iowa,2021
Operations Management,Logistics Coordinator,ETU Storage,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Sales Development Representative,Everlight Solar,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Mechanical Engineering,Project Staff Engineer,"EVS, Inc.",College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Staff,EY,Opus College of Business,Bachelor's Degree,Georgia,2021
Accounting,Staff Accountant,EY,Opus College of Business,Bachelor's Degree,Minnesota,2021
Accounting,Tax Staff,EY,School of Engineering,Bachelor's Degree,Minnesota,2021
Accounting,FSO Assurance Staff,EY,Opus College of Business,Bachelor's Degree,Minnesota,2021
Accounting,FSO Assurance Staff,EY,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Bus Admin - Communication,Recruitment Specialist,Fairview Health Services,Opus College of Business,Bachelor's Degree,Minnesota,2021
Psychology,Psychiatric Associate,Fairview Health Services,Opus College of Business,Bachelor's Degree,Minnesota,2021
Digital Media Arts,General Contractor,Family Contractor Business,Opus College of Business,Bachelor's Degree,Minnesota,2021
Economics,Actuarial Analyst,Federated Insurance,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Actuarial Science,Actuarial Analyst,Federated Insurance,Opus College of Business,Bachelor's Degree,Minnesota,2021
Leadership & Management,Client Services Manager,"Financial LifeLab, Inc.",Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,Associate Software Consultant,Fishbowl Solutions,Opus College of Business,Bachelor's Degree,Minnesota,2021
Biology,Laboratory Technician,Flint Hills Resources,Opus College of Business,Bachelor's Degree,Kansas,2021
Entrepreneurship,Sales and Marketing Manager,Fotorama Games & Toys,Opus College of Business,Bachelor's Degree,,2021
COJO Strategic Communications,Marketing Specialist,Foundation Finance,Opus College of Business,Bachelor's Degree,Wisconsin,2021
COJO Journalism,News Content Editor,Fox 9,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Family Studies,Behavioral Technician,Fraser,Opus College of Business,Bachelor's Degree,Minnesota,2021
Psychology,Behavioral Health Technician,Fraser,Opus College of Business,Bachelor's Degree,Minnesota,2021
Family Studies,Intake Coordinator & Clinical Research Coordinator,Fraser & UMN,School of Engineering,Bachelor's Degree,Minnesota,2021
Marketing Management,Digital Media Content Producer & Manager,Freelance,Opus College of Business,Bachelor's Degree,New York,2021
English - Creative Writing,Social media manager; copy editor,Freelance social media and editing work,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Real Estate Studies,Associate,Cushman & Wakefield,Opus College of Business,Bachelor's Degree,Illinois,2021
Computer Engineering,Software Engineer,General Dynamics Mission Systems,School of Engineering,Bachelor's Degree,Virginia,2021
Operations Management,Manufacturing Planner Specialist,General Dynamics Mission Systems,School of Engineering,Bachelor's Degree,Virginia,2021
Economics - Business,Trade Planning Financial Analyst,General Mills,School of Engineering,Bachelor's Degree,Minnesota,2021
English,Communications,Gallagher Bassett,Opus College of Business,Bachelor's Degree,Illinois,2021
Mechanical Engineering,Project Engineer,Gilbert mechanical,Opus College of Business,Bachelor's Degree,Minnesota,2021
