Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year
Marketing Management,Office Clerk/Warehouse Associate,GENERAL TRUCK PARTS AND EQUIPMENT COMPANY,School of Engineering,Bachelor's Degree,Illinois,2021
Actuarial Science,Consultant,Gross Consulting,Opus College of Business,Bachelor's Degree,Minnesota,2021
Justice & Peace Studies,Food Expeditor,GRUMPYS BAR & GRILL,College of Arts & Sciences,Bachelor's Degree,Rhode Island,2021
Biology,Nursing Assistant,Guardian Angels,Opus College of Business,Bachelor's Degree,Minnesota,2021
Actuarial Science,Risk Analyst,Guy Carpenter,Opus College of Business,Bachelor's Degree,Minnesota,2021
COJO Strategic Communications,Inside Sales Business Development Intern,H.B. Fuller,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
COJO Strategic Communications,Ad Logistics Assistant,Haworth Marketing + Media,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Digital Planning Assistant,Haworth Marketing + Media,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Out-of-Home Assistant,Haworth Marketing + Media,Opus College of Business,Bachelor's Degree,Minnesota,2021
Economics - Public Policy,Reporting Analyst,HealthEZ,Opus College of Business,Bachelor's Degree,Minnesota,2021
Spanish Cultural/Literary St.,Member Services Representative,HealthPartners,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Operations Management,Buyer,HealthPartners,Opus College of Business,Bachelor's Degree,Minnesota,2021
Statistics,Integrity and Compliance Analyst,HealthPartners,Opus College of Business,Bachelor's Degree,Minnesota,2021
Entrepreneurship,"Dealer Sales Account Manager, East Coast",Hearth & Home Technologies,Opus College of Business,Bachelor's Degree,Minnesota,2021
Actuarial Science,Accounting Assistant,Hempel Real Estate,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Civil Engineering,Graduate Engineer,Hennepin County,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biology,Medical Technologist,Hennepin Healthcare,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Individualized,Inside corporate brand sales,Henry Schein,School of Engineering,Bachelor's Degree,Minnesota,2021
Marketing Management,Business Development Intern,HighCloud Solutions,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Operations Management,Leader in Development Program,Hilton,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
COJO Strategic Communications,Business Owner,His Potter,School of Education,Bachelor's Degree,Minnesota,2021
History,Legal Assistant and Intake Specialist,Hoglund Law,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Search Manager,Home and Local Services,Opus College of Business,Bachelor's Degree,Minnesota,2021
Exercise Science,Senior Caregiver,Homeinstead Senior Care,College of Arts & Sciences,Bachelor's Degree,Indiana,2021
Computer Engineering,Assistant Swim Coach,Hopkins Hurricanes,Opus College of Business,Bachelor's Degree,Minnesota,2021
Bus Admin - Communication,Creative Recruiter,Horizontal Talent,School of Engineering,Bachelor's Degree,Minnesota,2021
Marketing Management,HP+ Digital Product Analyst,HP Inc,College of Health,Bachelor's Degree,Oregon,2021
English - Creative Writing,Case Manager—Legal Writing Division,Hudson Business Immigration Law Firm,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
History,Tutor,Huntington Learning Services,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Customer Experience Banker,Huntington National Bank,Opus College of Business,Bachelor's Degree,Ohio,2021
Human Resources Management,Talent Acquisition Coordinator,Icario,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Exercise Science,Medical Assistant/ Rehabilitation Aide,IMPACT Physical Medicine,School of Engineering,Bachelor's Degree,Minnesota,2021
English - Creative Writing,Researcher,IMPACTGroup,Opus College of Business,Bachelor's Degree,Missouri,2021
Gen Business Mgmt,Administration and Music Consultant,In The Groove Music,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Geology,Industrial Hygiene Field Technician,Industrial Hygiene Services Corporation,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Associate Consultant,Infor,Opus College of Business,Bachelor's Degree,Texas,2021
Operations Management,Business Development Representative,Infor,Opus College of Business,Bachelor's Degree,Minnesota,2021
Entrepreneurship,Associate Consultant,Infor,Opus College of Business,Bachelor's Degree,New York,2021
Financial Management,Recruiter,Insight Global,Opus College of Business,Bachelor's Degree,Georgia,2021
Marketing Management,Recruiter,Insight Global,Opus College of Business,Bachelor's Degree,Georgia,2021
Actuarial Science,Actuarial Trainee,Intact Insurance Specialty Solutions,Opus College of Business,Bachelor's Degree,,2021
Actuarial Science,Actuarial Trainee,Intact Insurance Specialty Solutions,School of Engineering,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Quality Engineer,Integer,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Neuroscience,Neuropsychometrist,Integrative Health,School of Engineering,Bachelor's Degree,Maryland,2021
Bus Admin - Communication,Marketing Intern,"International School of Management, France",College of Arts & Sciences,Bachelor's Degree,Do not live in the United States,2021
French,International Operations Coordinator,International SOS,Opus College of Business,Bachelor's Degree,Do not live in the United States,2021
Mechanical Engineering,Project Engineer,Intertek,Opus College of Business,Bachelor's Degree,Minnesota,2021
Environmental Sci (Biology),Outreach Assistant,Isanti SWCD,Opus College of Business,Bachelor's Degree,Minnesota,2021
Biology,Clinical Assistant,iSpine Pain Physicians,Opus College of Business,Bachelor's Degree,Minnesota,2021
Accounting,Tax Intern,Grant Thornton LLP,Opus College of Business,Bachelor's Degree,Illinois,2021
Leadership & Management,Retail Sales Specialist,Jack's Surfboards,College of Arts & Sciences,Bachelor's Degree,California,2021
Exercise Science,Sales Development Representative,Jamf,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Project Engineer,Janicki Industries,School of Education,Bachelor's Degree,Washington,2021
Real Estate Studies,Associate broker,JLL,School of Education,Bachelor's Degree,Minnesota,2021
Computer Science,Business Analyst Intern,Johnson Brothers,School of Education,Bachelor's Degree,Minnesota,2021
Bus Admin - Communication,Special Events Coordinator,Jones Lang LaSalle,Opus College of Business,Bachelor's Degree,Minnesota,2021
Bus Admin - Communication,Communication and Development Manager,Joyce Preschool,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Statistics,Supplier management analyst,JP Morgan & Chase Co.,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Engineering,Java full stack developer,JPMC,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Associate Banker,JPMorgan Chase & Co.,Opus College of Business,Bachelor's Degree,New York,2021
Mechanical Engineering,Production Engineer,Kannegiesser ETECH,Opus College of Business,Bachelor's Degree,Minnesota,2021
International Business,Director of Agent Services and Marketing,Keller Williams Realty,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
COJO Creative Multimedia,Coordinator,Keystone Community Services,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Social Work,Case Manager,Keystone Community Services,School of Education,Bachelor's Degree,Minnesota,2021
Social Work,AC/EW Case Manager,Keystone Community Services,College of Health,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Mechanical Engineer,KFI Engineers,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Audit Associate,KPMG,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Tax Accountant,KPMG,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Accounting,Audit Associate,KPMG,Opus College of Business,Bachelor's Degree,Minnesota,2021
Accounting,Audit Associate,KPMG,Opus College of Business,Bachelor's Degree,Minnesota,2021
Accounting,Business Tax Services,KPMG US,School of Engineering,Bachelor's Degree,New York,2021
Mechanical Engineering,Project Engineer,Kurita America Inc.,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Equity Research Associate,Lake Street Capital Markets,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Syndicate/Sales Analyst,"Lake Street Capital Markets, LLC",Opus College of Business,Bachelor's Degree,Minnesota,2021
Operations Management,Supply Chain Talent Acceleration Associate,Land O Lakes,Opus College of Business,Bachelor's Degree,Florida,2021
Political Science,Legal Assistant,Law Offices of Rodd A. Tschida,School of Engineering,Bachelor's Degree,Do not live in the United States,2021
Financial Management,Investment Banking Analyst,Lazard,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Accountant,"LB Carlson, LLP",Opus College of Business,Bachelor's Degree,Minnesota,2021
Biology,Director of First Impressions and Brain Trainer,LearningRX,Opus College of Business,Bachelor's Degree,Minnesota,2021
Accounting,Staff Associate Auditor,Legacy Professionals LLP,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Aquatic Design Engineer,Life Time Inc.,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Head Swim Coach & Supervisor,Life Time Inc.,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Jr. Account Executive,Linnihan Foy,Opus College of Business,Bachelor's Degree,Minnesota,2021
Real Estate Studies,Assistant Real Estate Manager,Linvill Properties,School of Engineering,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Delivery Driver,LIVX,Opus College of Business,Bachelor's Degree,Minnesota,2021
Actuarial Science,Reinsurance Analyst Broker,Lockton,Opus College of Business,Bachelor's Degree,Minnesota,2021
Individualized,Account Administrator,Lockton Companies,Opus College of Business,Bachelor's Degree,Missouri,2021
Leadership & Management,Broker,Lockton Re,Opus College of Business,Bachelor's Degree,Minnesota,2021
Economics - Business,Financial analyst,J.P. Morgan Chase,College of Arts & Sciences,Bachelor's Degree,Illinois,2021
Sociology,Behavioral Therapist,Lovaas Institute,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mathematics (Applied Track),Sales Associate,Lucky Brand,Opus College of Business,Bachelor's Degree,California,2021
Accounting,Construction Laborer,Lutgen Companies,Opus College of Business,Bachelor's Degree,Minnesota,2021
Physics,Electrical Engineer I,M.A. Mortenson Company,Opus College of Business,Bachelor's Degree,California,2021
Entrepreneurship,Business Development Specialist,M3 Insurance,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Leadership & Management,Associate HR Specialist,MA Mortenson,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Fashion Blogger,Maddy's Closet,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Student Associate: Production Intern,Madison Square Garden Entertainment Corp.,College of Arts & Sciences,Bachelor's Degree,New York,2021
Mechanical Engineering,Mechanical Engineer,"Manufacturing Engineering Resource, Inc.",College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Real Estate Studies,Assistant Manager,"Mark-Taylor, Inc.",Opus College of Business,Bachelor's Degree,Arizona,2021
Biology,Business Risk Consultant,Marsh McLennan Agency - Upper Midwest,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biochemistry,Research Associate,Marshfield Clinic,School of Engineering,Bachelor's Degree,Wisconsin,2021
Biology,Research Associate,Marshfield Clinic Health System,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Marketing Management,Marketing Coordinator,Matouk,College of Arts & Sciences,Bachelor's Degree,New York,2021
Elementary Education (K-6),Teacher,Maybe: Saint Paul Public Schools,Opus College of Business,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Human Resources Assistant,Mayflower Distributing Company,School of Engineering,Bachelor's Degree,Minnesota,2021
Computer Science,IT Analyst/Programmer,Mayo Clinic,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,IT programmer,Mayo Clinic,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,IT Analyst/Programmer,Mayo Clinic,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,IT Analyst Programmer,Mayo Clinic,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biochemistry,Optometry Technician,McDonald Eye Care Associates,College of Health,Bachelor's Degree,Minnesota,2021
Intl Studies - Economics,Language Assistant,Meddeas,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,Associate Security Engineer,Medica,School of Engineering,Bachelor's Degree,Minnesota,2021
Political Science,Public Policy Intern,Medica,School of Engineering,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Reliability engineer,Medtronic,School of Engineering,Bachelor's Degree,Minnesota,2021
COJO Persuasion/Soc Influence,Associate Regulatory Affairs Specialist,Medtronic,Opus College of Business,Bachelor's Degree,Iowa,2021
Computer Science,Software Engineer,Medtronic,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Associate Financial Analyst,Medtronic,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Analyst,Medtronic,Opus College of Business,Bachelor's Degree,Minnesota,2021
Economics,Associate finance analyst,Medtronic,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biology,Associate Chemist,Medtronic,Opus College of Business,Bachelor's Degree,Minnesota,2021
Exercise Science,Clinical Project Coordinator,Medtronic,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Design Assurance Engineer,Medtronic,Opus College of Business,Bachelor's Degree,Minnesota,2021
Electrical Engineering,Automation Engineer,MEMF Electrical Industries Co,Opus College of Business,Bachelor's Degree,Do not live in the United States,2021
Environmental Studies,Assistant Department Manager,Menards,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Criminal Justice,Building Materials Assistant Manager,Menards,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Accounting,Receiving manager,Menards Inc,School of Engineering,Bachelor's Degree,Minnesota,2021
Biology of Global Health,Consulting Analyst,Mercer,Opus College of Business,Bachelor's Degree,New York,2021
