Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year,Major Cluster,Major Subcluster,Industry Group,Job Function
Biology,Orthopedic Medical Assistant,Summit Orthopedics,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Communication Studies,Operations Support Manager,Sunset Transportation,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Communication Studies,Professional Services & Consulting,Operations & Supply Chain
Gen Business Mgmt,Teller,Superior Choice Credit Union,Opus College of Business,Bachelor's degree,Wisconsin,2023,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Finance & Accounting
Marketing Management,Account Manager,Superior Steel Supply,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Manufacturing & Industrial,Sales & Business Development
Entrepreneurship,Port Captain,Surly Brewing Co.,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Retail & Consumer Products,Government & Public Service
Computer Science,Host/Hostess,Sushi Fix,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Computer Science & IT,Retail & Consumer Products,Sales & Business Development
Marketing Management,,W.W. Grainger,Opus College of Business,Bachelor's degree,Illinois,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Manufacturing & Industrial,Other
Accounting,Associate,Talbots,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Retail & Consumer Products,Sales & Business Development
Liberal Arts,,Target,Dougherty Family College,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Humanities & Liberal Arts,Retail & Consumer Products,Other
Liberal Arts,Intern,Target,Dougherty Family College,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Humanities & Liberal Arts,Retail & Consumer Products,Sales & Business Development
Legal Studies,Project Manager,Target,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Social Sciences,Retail & Consumer Products,Management & Leadership
MS Operations & Supply Chain Mgmt,Inventory Analyst,Target,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Retail & Consumer Products,Operations & Supply Chain
Gen Business Mgmt,Technical Consultant,Target,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Retail & Consumer Products,Consulting & Advisory
Marketing Management,Merchandise Specialist,Target,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Sales & Business Development
