Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year,Major Cluster,Major Subcluster,Industry Group,Job Function
Real Estate Studies,Investor Relations Coordinator,RoRe's Boutique,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Retail & Consumer Products,Sales & Business Development
Mechanical Engineering,Mechanical Engineer,Rosenbauer Motors,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Biology,Emergency Room Technician,Roseville,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Government & Public Service,Engineering
Exercise Science,Nursing,Roseville,College of Health,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Health & Wellness,Government & Public Service,Healthcare & Clinical
Financial Management,Insurance Agent,Roth Nesbet Agencies,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Strategic Comm: Ad and PR,Corporate Marketing Coordinator,Royal Bank of Canada,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Communication Studies,Financial Services & Insurance,Marketing & Communications
Financial Management,Lending Specialist,Royal Bank of Canada,Opus College of Business,Bachelor's degree,,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Financial Management,Private Client Group Intern,Royal Bank of Canada,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Accounting,Assurance Associate,RSM,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Accounting,Audit Associate,RSM,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
